Sampling Period,Municipality,Land use,Heavy metal,Heavy metal concentration (mg/kg DM),Remarks,Year,Sampling date
1995-1999,Neuchâtel,Grassland,nickel,33.2,-,2005,26.04.2005
1995-1999,Mels,Mixed forest,mercury,0.1,-,1998,14.05.1998
2005-2009,Rifferswil,Protected sites,nickel,2.2,-,2008,26.06.2008
1985-1989,Kappelen,Deciduous forest,mercury,0.1,-,1988,31.08.1988
2005-2009,Stammheim,Mixed forest,mercury,0.08,-,2009,19.03.2009
2005-2009,Wettingen,Mixed forest,mercury,0.09,-,2009,06.05.2009
1990-1994,Jussy,Deciduous forest,mercury,0.11,-,1994,05.07.1994
2015-2019,Ins,Crop cultivation,mercury,0.09,-,2015,17.03.2015
1990-1994,Staffelbach,Mixed forest,mercury,0.14,-,1994,09.03.1994
2005-2009,Rifferswil,Protected sites,mercury,0.01,-,2008,26.06.2008
1990-1994,Albula/Alvra,Coniferous forest,mercury,0.1,-,1993,01.07.1993
2005-2009,Bellinzona,Special crops,mercury,0.03,-,2009,20.02.2009
2005-2009,Staffelbach,Mixed forest,mercury,0.1,-,2009,03.04.2009
1995-1999,Wettingen,Mixed forest,mercury,0.1,-,1999,09.03.1999
1990-1994,Stammheim,Mixed forest,mercury,0.12,-,1994,11.05.1994
1990-1994,Roggwil (TG),Special crops,mercury,0.1,-,1991,27.03.1991
2000-2004,Bellinzona,Special crops,mercury,0.04,-,2004,02.03.2004
1985-1989,Stammheim,Mixed forest,mercury,0.17,-,1989,24.05.1989
1985-1989,Wettingen,Mixed forest,mercury,0.15,-,1989,26.04.1989
1990-1994,Zernez,Protected sites,mercury,0.06,-,1993,30.06.1993
2015-2019,Conthey,Special crops,mercury,0.09,-,2015,14.04.2015
1995-1999,Bellinzona,Special crops,mercury,0.05,-,1999,24.03.1999
1990-1994,Wald (ZH),Coniferous forest,mercury,0.25,-,1993,08.09.1993
1995-1999,Zürich,Mixed forest,mercury,0.17,-,1999,10.03.1999
1990-1994,Wettingen,Mixed forest,mercury,0.14,-,1994,15.03.1994
2015-2019,Schleitheim,Crop cultivation,mercury,0.11,-,2016,14.03.2016
1985-1989,Staffelbach,Mixed forest,mercury,0.14,-,1989,19.04.1989
1985-1989,Surses,Grassland,mercury,0.1,-,1988,27.07.1988
1995-1999,Orbe,Deciduous forest,mercury,0.06,-,1999,31.03.1999
1985-1989,Orbe,Deciduous forest,mercury,0.07,-,1989,05.07.1989
2000-2004,Stammheim,Mixed forest,mercury,0.09,-,2004,15.04.2004
2015-2019,Montanaire,Mixed forest,mercury,0.05,-,2019,23.05.2019
1985-1989,Schleitheim,Crop cultivation,mercury,0.06,-,1986,13.08.1986
1990-1994,Bellinzona,Special crops,mercury,0.06,-,1994,22.11.1994
1995-1999,Wald (ZH),Coniferous forest,mercury,0.21,-,1998,28.08.1998
1985-1989,Roggwil (TG),Special crops,mercury,0.08,-,1986,10.06.1986
2000-2004,Ins,Crop cultivation,mercury,0.12,-,2000,05.06.2000
1990-1994,Zürich,Mixed forest,mercury,0.25,-,1994,13.09.1994
2000-2004,Wettingen,Mixed forest,mercury,0.09,-,2005,13.09.2005
2010-2014,Ins,Crop cultivation,mercury,0.1,-,2010,23.03.2010
2005-2009,Kappelen,Deciduous forest,mercury,0.09,-,2008,19.06.2008
1990-1994,St. Moritz,Protected sites,mercury,0.32,-,1993,11.11.1993
2015-2019,Zuzwil (BE),Crop cultivation,mercury,0.03,-,2018,26.03.2018
1990-1994,Zuzwil (BE),Crop cultivation,mercury,0.06,-,1993,28.04.1993
1990-1994,Gempen,Crop cultivation,mercury,0.1,-,1993,28.04.1993
2010-2014,Zuzwil (BE),Crop cultivation,mercury,0.02,-,2013,04.03.2013
2000-2004,Binningen,Crop cultivation,mercury,0.13,-,2000,21.03.2000
2015-2019,Binningen,Crop cultivation,mercury,0,-,2015,09.04.2015
1985-1989,Binningen,Crop cultivation,mercury,0.08,-,1985,27.08.1985
2010-2014,Binningen,Crop cultivation,mercury,0.02,-,2010,03.03.2010
2010-2014,Wartau,Special crops,mercury,0.02,-,2012,29.03.2012
1985-1989,L'Abbaye,Coniferous forest,mercury,0.33,-,1988,02.11.1988
1985-1989,Birwinken,Crop cultivation,mercury,0.05,-,1988,26.10.1988
1985-1989,Aristau,Protected sites,mercury,0.1,-,1989,03.05.1989
1985-1989,Koppigen,Crop cultivation,mercury,0.09,-,1986,30.10.1986
2010-2014,Sant'Antonino,Special crops,mercury,0.02,-,2013,29.01.2013
1995-1999,Zuzwil (BE),Crop cultivation,mercury,0.04,-,1998,06.01.1998
2005-2009,Binningen,Crop cultivation,mercury,0.05,-,2005,12.04.2005
2010-2014,Lützelflüh,Crop cultivation,mercury,0.05,-,2013,15.04.2013
1985-1989,Zuzwil (BE),Crop cultivation,mercury,0.06,-,1988,18.04.1988
2005-2009,Zuzwil (BE),Crop cultivation,mercury,0.02,-,2008,21.02.2008
1985-1989,Campo (Vallemaggia),Coniferous forest,mercury,0.15,-,1988,10.11.1988
1985-1989,Wartau,Special crops,mercury,0.03,-,1987,04.11.1987
1985-1989,Lützelflüh,Crop cultivation,mercury,0.08,-,1988,24.10.1988
2000-2004,Härkingen,Crop cultivation,mercury,0.12,-,2010,18.03.2010
1990-1994,Eschenbach (LU),Crop cultivation,mercury,0.14,-,1991,26.03.1991
2015-2019,Lützelflüh,Crop cultivation,mercury,0.05,-,2017,15.03.2017
2000-2004,Albula/Alvra,Coniferous forest,mercury,0.07,-,2003,18.09.2003
2000-2004,Lützelflüh,Crop cultivation,mercury,0.05,-,2003,03.06.2003
1995-1999,Gempen,Crop cultivation,mercury,0.08,-,1998,25.02.1998
2005-2009,Lützelflüh,Crop cultivation,mercury,0.05,-,2008,23.04.2008
1985-1989,Davos,Coniferous forest,mercury,0.14,-,1989,18.10.1989
1995-1999,Lützelflüh,Crop cultivation,mercury,0.08,-,1998,05.01.1998
2005-2009,Davos,Coniferous forest,mercury,0.11,-,2009,24.06.2009
1995-1999,L'Abbaye,Coniferous forest,mercury,0.31,-,1998,19.10.1998
1985-1989,Gempen,Crop cultivation,mercury,0.1,-,1988,13.04.1988
2000-2004,La Sarraz,Crop cultivation,mercury,0.15,-,2000,04.04.2000
1990-1994,Lützelflüh,Crop cultivation,mercury,0.13,-,1993,26.04.1993
2000-2004,Campo (Vallemaggia),Coniferous forest,mercury,0.14,-,2003,14.05.2003
1995-1999,Haute-Ajoie,Crop cultivation,mercury,0.07,-,1998,21.10.1998
2005-2009,Möhlin,Crop cultivation,mercury,0.12,-,2006,20.03.2006
2010-2014,Haute-Ajoie,Crop cultivation,mercury,0.02,-,2013,15.04.2013
2010-2014,Birwinken,Crop cultivation,mercury,0.05,-,2013,06.03.2013
2000-2004,Gsteig,Coniferous forest,mercury,0.08,-,2003,11.09.2003
1985-1989,Val-de-Ruz,Crop cultivation,mercury,0.06,-,1986,10.09.1986
2005-2009,Aristau,Protected sites,mercury,0.06,-,2009,19.03.2009
2015-2019,Val-de-Ruz,Crop cultivation,mercury,0.05,-,2016,15.03.2016
2005-2009,Wiedlisbach,Crop cultivation,mercury,0.11,-,2005,19.05.2005
2015-2019,Haute-Ajoie,Crop cultivation,mercury,0.02,-,2018,27.03.2018
1990-1994,Oberriet (SG),Crop cultivation,mercury,0.16,-,1992,20.10.1992
2000-2004,Vallon,Crop cultivation,mercury,0.05,-,2002,24.09.2002
2000-2004,Val-de-Ruz,Crop cultivation,mercury,0.06,-,2001,06.09.2001
1995-1999,Oberriet (SG),Crop cultivation,mercury,0.15,-,1997,02.09.1997
1995-1999,Vallon,Crop cultivation,mercury,0.06,-,1997,23.09.1997
2000-2004,Koppigen,Crop cultivation,mercury,0.05,-,2001,09.10.2001
1985-1989,Oberriet (SG),Crop cultivation,mercury,0.14,-,1987,23.09.1987
2010-2014,Val-de-Ruz,Crop cultivation,mercury,0.06,-,2011,16.03.2011
1990-1994,Koppigen,Crop cultivation,mercury,0.12,-,1991,03.04.1991
2000-2004,Aristau,Protected sites,mercury,0.06,-,2004,23.09.2004
2000-2004,Sant'Antonino,Special crops,mercury,0.02,-,2003,13.05.2003
2010-2014,Wiedlisbach,Crop cultivation,mercury,0.12,-,2010,18.03.2010
1985-1989,Haute-Ajoie,Crop cultivation,mercury,0.11,-,1988,23.08.1988
2005-2009,Santa Maria in Calanca,Coniferous forest,mercury,0.18,-,2008,04.06.2008
2005-2009,L'Abbaye,Coniferous forest,mercury,0.29,-,2008,22.05.2008
2015-2019,Wiedlisbach,Crop cultivation,mercury,0.11,-,2015,16.04.2015
2005-2009,Val-de-Ruz,Crop cultivation,mercury,0.06,-,2006,14.09.2006
1990-1994,Haute-Ajoie,Crop cultivation,mercury,0.11,-,1993,17.08.1993
1990-1994,Gsteig,Coniferous forest,mercury,0.13,-,1993,13.10.1993
1995-1999,Oensingen,Crop cultivation,mercury,0.03,-,1998,06.01.1998
2000-2004,Santa Maria in Calanca,Coniferous forest,mercury,0.19,-,2003,17.09.2003
2010-2014,Koppigen,Crop cultivation,mercury,0,-,2011,17.03.2011
1995-1999,Santa Maria in Calanca,Coniferous forest,mercury,0.15,-,1998,17.03.1998
1990-1994,Aristau,Protected sites,mercury,0.11,-,1994,22.03.1994
2005-2009,Haute-Ajoie,Crop cultivation,mercury,0.02,-,2008,27.02.2008
2000-2004,Haute-Ajoie,Crop cultivation,mercury,0.02,-,2003,30.10.2003
1995-1999,Koppigen,Crop cultivation,mercury,0.13,-,1996,28.02.1996
2015-2019,Sant'Antonino,Special crops,mercury,0.01,-,2018,13.02.2018
1990-1994,Rothenfluh,Deciduous forest,mercury,0.18,-,1994,28.09.1994
2000-2004,Rothenfluh,Deciduous forest,mercury,0.1,-,2004,19.08.2004
1995-1999,Leuggern,Crop cultivation,mercury,0.11,-,1996,20.03.1996
1995-1999,Rothenfluh,Deciduous forest,mercury,0.17,-,1999,07.01.1999
2015-2019,Gais,Grassland,mercury,0.05,-,2019,01.05.2019
1985-1989,Zernez,Protected sites,mercury,0.06,-,1988,09.08.1988
2010-2014,Mathod,Special crops,mercury,0.22,-,2013,02.04.2013
1990-1994,Leuggern,Crop cultivation,mercury,0.1,-,1991,15.04.1991
1990-1994,Dällikon,Special crops,mercury,0.08,-,1993,23.06.1993
2005-2009,Gais,Grassland,mercury,0.05,-,2009,23.04.2009
2000-2004,Leuggern,Crop cultivation,mercury,0.12,-,2001,20.08.2001
1990-1994,Mathod,Special crops,mercury,0.28,-,1993,27.10.1993
1985-1989,Disentis/Mustér,Grassland,mercury,0.11,-,1988,25.07.1988
2000-2004,Frauenfeld,Deciduous forest,mercury,0.03,-,2003,27.05.2003
1995-1999,Disentis/Mustér,Grassland,mercury,0.06,-,1998,13.05.1998
1995-1999,Gais,Grassland,mercury,0.08,-,1999,27.07.1999
2000-2004,Gais,Grassland,mercury,0.05,-,2004,21.04.2004
1985-1989,Mathod,Special crops,mercury,0.28,-,1988,12.07.1988
2010-2014,Gais,Grassland,mercury,0.05,-,2014,10.04.2014
2000-2004,Kappelen,Deciduous forest,mercury,0.09,-,2003,08.07.2003
2005-2009,Ependes (VD),Grassland,mercury,0.05,-,2009,01.04.2009
2000-2004,Ependes (VD),Grassland,mercury,0.05,-,2004,09.06.2004
1995-1999,Niederlenz,Deciduous forest,mercury,0.1,-,1999,09.03.1999
1985-1989,Landquart,Crop cultivation,mercury,0.09,-,1988,12.08.1988
1985-1989,Frauenfeld,Deciduous forest,mercury,0.11,-,1988,20.09.1988
1995-1999,Trub,Grassland,mercury,0.11,-,1998,07.01.1998
1990-1994,Disentis/Mustér,Grassland,mercury,0.09,-,1993,29.06.1993
2010-2014,Leuggern,Crop cultivation,mercury,0.11,-,2011,23.02.2011
1995-1999,Mathod,Special crops,mercury,0.26,-,1998,04.03.1998
2005-2009,Trub,Grassland,mercury,0.06,-,2008,23.04.2008
1990-1994,Surses,Grassland,mercury,0.1,-,1993,29.06.1993
2010-2014,Trub,Grassland,mercury,0.06,-,2013,24.04.2013
2010-2014,Bellinzona,Special crops,mercury,0.04,-,2014,13.03.2014
2005-2009,Ins,Crop cultivation,mercury,0.1,-,2005,16.08.2005
1995-1999,Landquart,Crop cultivation,mercury,0.07,-,1998,14.05.1998
2015-2019,Bellinzona,Special crops,mercury,0.04,-,2019,13.02.2019
1985-1989,Trub,Grassland,mercury,0.12,-,1988,27.04.1988
2015-2019,Trub,Grassland,mercury,0.06,-,2018,17.04.2018
2015-2019,Oberriet (SG),Crop cultivation,mercury,0.07,-,2017,23.02.2017
2005-2009,Albula/Alvra,Coniferous forest,mercury,0.06,-,2008,02.07.2008
2005-2009,Sant'Antonino,Special crops,mercury,0.02,-,2008,12.02.2008
1990-1994,Nyon,Special crops,mercury,0.11,-,1993,03.11.1993
2015-2019,Eschenbach (LU),Crop cultivation,mercury,0.09,-,2016,07.07.2016
2010-2014,Vallon,Crop cultivation,mercury,0.05,-,2012,20.03.2012
1990-1994,Ins,Crop cultivation,mercury,0.16,-,1990,06.03.1990
1990-1994,Binningen,Crop cultivation,mercury,0.1,-,1990,20.02.1990
2000-2004,L'Abbaye,Coniferous forest,mercury,0.28,-,2003,05.08.2003
1995-1999,Binningen,Crop cultivation,mercury,0.12,-,1995,01.03.1995
1995-1999,Niedermuhlern,Crop cultivation,mercury,0.14,-,1996,24.04.1996
2000-2004,Oberriet (SG),Crop cultivation,mercury,0.06,-,2002,30.04.2002
1990-1994,Davos,Coniferous forest,mercury,0.17,-,1994,04.10.1994
2000-2004,Eschenbach (LU),Crop cultivation,mercury,0.1,-,2001,31.05.2001
1985-1989,Eschenbach (LU),Crop cultivation,mercury,0.11,-,1986,03.09.1986
1995-1999,Davos,Coniferous forest,mercury,0.15,-,1999,03.08.1999
2000-2004,Davos,Coniferous forest,mercury,0.11,-,2004,16.06.2004
1985-1989,Niedermuhlern,Crop cultivation,mercury,0.09,-,1986,07.05.1986
2000-2004,Nyon,Special crops,mercury,0.03,-,2003,13.03.2003
2000-2004,Muntogna da Schons,Grassland,mercury,0.05,-,2003,22.09.2003
1995-1999,La Brévine,Grassland,mercury,0.26,-,1999,23.06.1999
1985-1989,La Brévine,Grassland,mercury,0.33,-,1989,11.04.1989
1990-1994,L'Abbaye,Coniferous forest,mercury,0.33,-,1993,27.10.1993
1990-1994,Frauenfeld,Deciduous forest,mercury,0.09,-,1993,01.09.1993
1990-1994,La Brévine,Grassland,mercury,0.35,-,1994,09.11.1994
1990-1994,Muntogna da Schons,Grassland,mercury,0.09,-,1993,01.07.1993
2015-2019,Mathod,Special crops,mercury,0.16,-,2018,02.05.2018
1985-1989,Gais,Grassland,mercury,0.1,-,1989,26.09.1989
1990-1994,Gais,Grassland,mercury,0.14,-,1994,31.08.1994
2015-2019,Niedermuhlern,Crop cultivation,mercury,0.07,-,2016,22.03.2016
1990-1994,Niedermuhlern,Crop cultivation,mercury,0.14,-,1991,03.04.1991
1985-1989,Etoy,Crop cultivation,mercury,0.09,-,1988,19.07.1988
1990-1994,Vallon,Crop cultivation,mercury,0.13,-,1992,19.10.1992
2005-2009,Wartau,Special crops,mercury,0.02,-,2007,05.04.2007
1995-1999,Nyon,Special crops,mercury,0.06,-,1998,16.04.1998
2000-2004,Niedermuhlern,Crop cultivation,mercury,0.08,-,2001,05.06.2001
2010-2014,Niedermuhlern,Crop cultivation,mercury,0.07,-,2011,08.03.2011
2005-2009,Niedermuhlern,Crop cultivation,mercury,0.08,-,2006,04.04.2006
2005-2009,Hendschiken,Crop cultivation,zinc,48.9,-,2007,21.03.2007
2000-2004,Hendschiken,Crop cultivation,zinc,49.3,-,2002,07.05.2002
1990-1994,Oberriet (SG),Crop cultivation,zinc,66.5,-,1992,20.10.1992
2000-2004,Vallon,Crop cultivation,zinc,101.8,-,2002,24.09.2002
2000-2004,Härkingen,Crop cultivation,zinc,74.6,-,2010,18.03.2010
2005-2009,Gsteig,Coniferous forest,zinc,42.8,-,2008,07.08.2008
2015-2019,Koppigen,Crop cultivation,zinc,43.9,-,2016,21.03.2016
2000-2004,Visp,Coniferous forest,zinc,42.1,-,2004,10.06.2004
1990-1994,Visp,Coniferous forest,zinc,42.4,-,1994,19.10.1994
2000-2004,Oberriet (SG),Crop cultivation,zinc,63.5,-,2002,30.04.2002
1990-1994,Davos,Coniferous forest,zinc,22.4,-,1994,04.10.1994
1985-1989,Avully,Crop cultivation,zinc,33.3,-,1986,14.08.1986
1995-1999,Härkingen,Crop cultivation,zinc,73.2,-,2005,12.04.2005
1985-1989,Davos,Coniferous forest,zinc,24.7,-,1989,18.10.1989
1985-1989,Visp,Coniferous forest,zinc,42.6,-,1989,08.08.1989
2005-2009,Oberriet (SG),Crop cultivation,zinc,65.7,-,2007,27.03.2007
2005-2009,Binningen,Crop cultivation,zinc,50.1,-,2005,12.04.2005
2005-2009,Cornol,Crop cultivation,zinc,44.5,-,2008,27.02.2008
1990-1994,Cornol,Crop cultivation,zinc,44.4,-,1993,17.08.1993
1995-1999,Neuchâtel,Grassland,zinc,73.2,-,2005,26.04.2005
1990-1994,Landquart,Crop cultivation,zinc,88.7,-,1993,04.08.1993
2010-2014,Winterthur,Urban park,zinc,57.1,-,2013,30.05.2013
2010-2014,Hendschiken,Crop cultivation,zinc,48.3,-,2012,22.03.2012
1985-1989,Buchegg,Grassland,zinc,52.1,-,1989,04.04.1989
2000-2004,Winterthur,Urban park,zinc,60.9,-,2003,24.04.2003
2000-2004,Glarus Nord,Grassland,zinc,106.9,-,2001,27.06.2001
1990-1994,Winterthur,Urban park,zinc,60.9,-,1993,23.06.1993
1985-1989,Winterthur,Urban park,zinc,64.6,-,1988,21.06.1988
1995-1999,Glarus Nord,Grassland,zinc,105.5,-,1996,17.04.1996
1995-1999,Hendschiken,Crop cultivation,zinc,48.9,-,1997,24.09.1997
2015-2019,Hendschiken,Crop cultivation,zinc,53.3,-,2017,16.03.2017
2010-2014,Oberriet (SG),Crop cultivation,zinc,72.8,-,2012,29.03.2012
2005-2009,Vallon,Crop cultivation,zinc,102.4,-,2007,24.09.2007
1990-1994,Hendschiken,Crop cultivation,zinc,48.8,-,1992,20.10.1992
1985-1989,Hendschiken,Crop cultivation,zinc,48.4,-,1987,04.08.1987
2005-2009,Davos,Coniferous forest,zinc,20.4,-,2009,24.06.2009
2000-2004,Avully,Crop cultivation,zinc,34.2,-,2001,15.08.2001
2015-2019,Oberriet (SG),Crop cultivation,zinc,80.7,-,2017,23.02.2017
2005-2009,Visp,Coniferous forest,zinc,42.2,-,2009,02.04.2009
2010-2014,Pailly,Crop cultivation,zinc,41.2,-,2013,02.04.2013
2005-2009,Kiesen,Crop cultivation,zinc,68.2,-,2007,20.03.2007
2000-2004,Gsteig,Coniferous forest,zinc,41.5,-,2003,11.09.2003
2005-2009,Domleschg,Crop cultivation,zinc,86,-,2008,19.03.2008
2015-2019,Vallon,Crop cultivation,zinc,109.9,-,2017,15.02.2017
1985-1989,Val-de-Ruz,Crop cultivation,zinc,37.1,-,1986,10.09.1986
1990-1994,Scuol,Coniferous forest,zinc,39,-,1993,30.06.1993
1995-1999,Wiedlisbach,Crop cultivation,zinc,59.2,-,1995,01.03.1995
1985-1989,Scuol,Coniferous forest,zinc,39.2,-,1988,10.08.1988
1985-1989,Pailly,Crop cultivation,zinc,39.6,-,1988,16.08.1988
1990-1994,Val-de-Ruz,Crop cultivation,zinc,37.3,-,1991,04.06.1991
2000-2004,Koppigen,Crop cultivation,zinc,45.7,-,2001,09.10.2001
1995-1999,Santa Maria in Calanca,Coniferous forest,zinc,49.2,-,1998,17.03.1998
2010-2014,Vouvry,Crop cultivation,zinc,50.6,-,2014,18.03.2014
1990-1994,Gsteig,Coniferous forest,zinc,42.8,-,1993,13.10.1993
1985-1989,Koppigen,Crop cultivation,zinc,44.3,-,1986,30.10.1986
2005-2009,Pailly,Crop cultivation,zinc,41.5,-,2008,13.03.2008
1995-1999,Gsteig,Coniferous forest,zinc,43.3,-,1998,22.09.1998
1985-1989,Ins,Crop cultivation,zinc,43.9,-,1985,31.10.1985
2005-2009,Scuol,Coniferous forest,zinc,36.7,-,2008,03.07.2008
1995-1999,Avully,Crop cultivation,zinc,34.6,-,1996,10.04.1996
2015-2019,Pailly,Crop cultivation,zinc,36.6,-,2017,14.03.2017
1990-1994,Möhlin,Crop cultivation,zinc,39.9,-,1991,27.03.1991
2005-2009,Avully,Crop cultivation,zinc,33.4,-,2006,15.03.2006
1990-1994,Binningen,Crop cultivation,zinc,50.8,-,1990,20.02.1990
1995-1999,Oberriet (SG),Crop cultivation,zinc,64.7,-,1997,02.09.1997
1990-1994,Avully,Crop cultivation,zinc,34.7,-,1991,06.08.1991
1995-1999,Möhlin,Crop cultivation,zinc,39.7,-,1996,20.03.1996
1990-1994,Santa Maria in Calanca,Coniferous forest,zinc,55.1,-,1993,21.09.1993
1985-1989,Coldrerio,Crop cultivation,zinc,69.1,-,1988,14.12.1988
2000-2004,Kiesen,Crop cultivation,zinc,68.4,-,2002,15.08.2002
1985-1989,Vallon,Crop cultivation,zinc,96.8,-,1987,28.08.1987
1995-1999,Coldrerio,Crop cultivation,zinc,67.1,-,1998,17.03.1998
1995-1999,Kiesen,Crop cultivation,zinc,69.7,-,1997,23.09.1997
2000-2004,Scuol,Coniferous forest,zinc,38.4,-,2003,24.09.2003
1995-1999,Vallon,Crop cultivation,zinc,100.8,-,1997,23.09.1997
2000-2004,Vouvry,Crop cultivation,zinc,49.4,-,2004,17.03.2004
1995-1999,St. Stephan,Grassland,zinc,46.1,-,1998,22.09.1998
2005-2009,Unterschächen,Grassland,zinc,100.9,-,2009,23.04.2009
1985-1989,St. Stephan,Grassland,zinc,43,-,1988,28.04.1988
1990-1994,Grindelwald,Grassland,zinc,22.7,-,1994,01.06.1994
1985-1989,Grindelwald,Grassland,zinc,24.1,-,1989,26.07.1989
2000-2004,Grindelwald,Grassland,zinc,22.4,-,2004,07.07.2004
2000-2004,Aadorf,Grassland,zinc,80.2,-,2004,15.04.2004
2005-2009,Orbe,Deciduous forest,zinc,23.6,-,2009,02.04.2009
1995-1999,Ins,Crop cultivation,zinc,45.2,-,1995,22.03.1995
1995-1999,Orbe,Deciduous forest,zinc,24.2,-,1999,31.03.1999
1995-1999,Clos du Doubs,Deciduous forest,zinc,57,-,1998,21.10.1998
1990-1994,St. Stephan,Grassland,zinc,43.7,-,1993,15.09.1993
2005-2009,Clos du Doubs,Deciduous forest,zinc,55.4,-,2008,08.05.2008
1990-1994,Lugano,Urban park,zinc,147,-,1994,22.11.1994
1995-1999,Glarus Süd,Grassland,zinc,74.5,-,1999,03.08.1999
2015-2019,Aadorf,Grassland,zinc,90.9,-,2019,20.03.2019
2010-2014,Aadorf,Grassland,zinc,84.6,-,2014,26.03.2014
1985-1989,Clos du Doubs,Deciduous forest,zinc,61,-,1988,07.07.1988
2015-2019,Schleitheim,Crop cultivation,zinc,97.3,-,2016,14.03.2016
2000-2004,La Sarraz,Crop cultivation,zinc,54.5,-,2000,04.04.2000
1990-1994,Unterschächen,Grassland,zinc,103.3,-,1994,20.07.1994
2000-2004,Unterschächen,Grassland,zinc,100.5,-,2004,14.04.2004
2010-2014,Unterschächen,Grassland,zinc,102.5,-,2015,08.04.2015
2005-2009,Erstfeld,Grassland,zinc,93.7,-,2009,09.04.2009
1990-1994,Erstfeld,Grassland,zinc,97.5,-,1994,20.07.1994
2010-2014,Entlebuch,Grassland,zinc,58.3,-,2013,24.04.2013
1995-1999,Winterthur,Urban park,zinc,60.3,-,1998,26.02.1998
2015-2019,Winterthur,Urban park,zinc,61.9,-,2017,23.03.2017
1995-1999,Erstfeld,Grassland,zinc,101.4,-,1999,01.06.1999
1985-1989,Aadorf,Grassland,zinc,72.7,-,1989,17.10.1989
2005-2009,Schleitheim,Crop cultivation,zinc,97.3,-,2006,20.03.2006
1995-1999,Aadorf,Grassland,zinc,77.2,-,1999,03.03.1999
1990-1994,Ernen,Grassland,zinc,66.5,-,1994,19.10.1994
1990-1994,Aadorf,Grassland,zinc,75,-,1994,13.09.1994
1995-1999,Grindelwald,Grassland,zinc,24.8,-,1999,15.06.1999
1995-1999,La Sarraz,Crop cultivation,zinc,54.3,-,1995,12.04.1995
2000-2004,St. Stephan,Grassland,zinc,45.5,-,2003,11.09.2003
2005-2009,Grindelwald,Grassland,zinc,22,-,2009,19.06.2009
2010-2014,Ins,Crop cultivation,zinc,49.7,-,2010,23.03.2010
2010-2014,Landquart,Crop cultivation,zinc,84,-,2013,18.03.2013
2000-2004,Entlebuch,Grassland,zinc,54.3,-,2003,15.04.2003
1995-1999,Lugano,Urban park,zinc,142.9,-,1999,24.03.1999
1985-1989,Saint-Martin (VS),Grassland,zinc,38,-,1989,30.08.1989
1995-1999,Etoy,Crop cultivation,zinc,47.5,-,1998,16.04.1998
2015-2019,Lugano,Urban park,zinc,121.8,-,2019,14.02.2019
2005-2009,Glarus Süd,Grassland,zinc,71.2,-,2009,25.06.2009
2005-2009,Entlebuch,Grassland,zinc,54.3,-,2008,24.04.2008
2000-2004,Saint-Martin (VS),Grassland,zinc,40.4,-,2004,08.07.2004
1985-1989,Glarus Nord,Grassland,zinc,107,-,1986,23.09.1986
2005-2009,Neuchâtel,Grassland,zinc,75.3,-,2015,14.04.2015
1990-1994,Entlebuch,Grassland,zinc,42.2,-,1993,08.06.1993
2005-2009,Nesslau,Grassland,zinc,95.5,-,2009,28.05.2009
2000-2004,Nesslau,Grassland,zinc,92.5,-,2004,19.07.2004
1990-1994,Saint-Martin (VS),Grassland,zinc,41.5,-,1994,18.10.1994
2005-2009,Saint-Martin (VS),Grassland,zinc,39.5,-,2009,18.06.2009
1995-1999,Saint-Martin (VS),Grassland,zinc,41,-,1999,20.07.1999
2000-2004,Lugano,Urban park,zinc,144.5,-,2004,03.03.2004
1990-1994,Nesslau,Grassland,zinc,91.8,-,1994,31.08.1994
2015-2019,Glarus Nord,Grassland,zinc,136,-,2016,17.02.2016
2005-2009,Birwinken,Crop cultivation,zinc,47.9,-,2008,14.02.2008
1990-1994,Glarus Nord,Grassland,zinc,103.5,-,1991,26.03.1991
2010-2014,Glarus Nord,Grassland,zinc,111.7,-,2011,24.03.2011
1985-1989,Entlebuch,Grassland,zinc,33.3,-,1988,15.06.1988
1985-1989,Glarus Süd,Grassland,zinc,74.4,-,1989,20.09.1989
1990-1994,Glarus Süd,Grassland,zinc,74.1,-,1994,03.08.1994
1985-1989,Nesslau,Grassland,zinc,90.7,-,1989,26.09.1989
2015-2019,Entlebuch,Grassland,zinc,54.4,-,2018,18.04.2018
1990-1994,Buchegg,Grassland,zinc,55.8,-,1994,17.08.1994
1995-1999,Buchegg,Grassland,zinc,57.1,-,1999,08.03.1999
2005-2009,Buchegg,Grassland,zinc,56.7,-,2009,13.03.2009
2000-2004,Buchegg,Grassland,zinc,56.7,-,2004,18.03.2004
2005-2009,Winterthur,Urban park,zinc,57.4,-,2008,25.06.2008
2005-2009,Etoy,Crop cultivation,zinc,49.1,-,2008,13.03.2008
2000-2004,Glarus Süd,Grassland,zinc,71.3,-,2004,17.06.2004
2005-2009,Conthey,Special crops,zinc,60.4,-,2005,30.08.2005
2000-2004,Etoy,Crop cultivation,zinc,48.6,-,2003,13.03.2003
1995-1999,Haute-Ajoie,Crop cultivation,zinc,41.3,-,1998,21.10.1998
2000-2004,Santa Maria in Calanca,Coniferous forest,zinc,47.8,-,2003,17.09.2003
2000-2004,Langenthal,Mixed forest,zinc,44.2,-,2004,10.06.2004
1985-1989,Birwinken,Crop cultivation,zinc,49.6,-,1988,26.10.1988
2005-2009,Santa Maria in Calanca,Coniferous forest,zinc,48.7,-,2008,04.06.2008
2000-2004,Haute-Ajoie,Crop cultivation,zinc,40.7,-,2003,30.10.2003
2015-2019,Haute-Ajoie,Crop cultivation,zinc,56.9,-,2018,27.03.2018
